place	appointment	free	day	daypart	hour	organisation	address	telephone	email	website
SexOther	no	yes	Wednesday	morning	10h - 12h	Violett	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	no	yes	Wednesday	afternoon	18h - 20h	Violett	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	no	yes	Friday	morning	10h - 12h	Violett	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	yes	yes	Wednesday	afternoon	18h30 - 19h30	Violett	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	no	yes	Friday	morning	11h - 12h	Violett	Brabantdam 100B, 9000 Ghent	09 233 47 67	dokters.gent@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	no	yes	Friday	afternoon	12h - 13h	Violett	Brabantdam 100B, 9000 Ghent	09 233 47 67	dokters.gent@violett.be	https://www.violett.be/nl/laat-je-testen/
SexOther	no	yes	Monday	morning	10h - 12h	Violett	Ertbeekstraat 34, 3500 Hasselt	011 33 30 58	dokters.hasselt@violett.be	https://www.violett.be/nl/laat-je-testen/
Selftest						Swab2Know				https://www.swab2know.eu/BE/e
Brussels	no	yes	Monday	afternoon	8/7: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Monday	afternoon	12/8: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Monday	afternoon	26/8: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Tuesday	afternoon	9/9: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Wednesday	afternoon	23/9: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Thursday	afternoon	26/8: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Friday	afternoon	14/10: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Saturday	afternoon	28/10: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Sunday	afternoon	25/11: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Monday	afternoon	9/12: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	yes	Tuesday	afternoon	23/12: 18h - 21h	Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	http://www.aideinfosida.be/tests_ais.php
Brussels	no	no	Wednesday	morning	10/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique13
Brussels	yes	no	Wednesday	morning	10/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique14
Brussels	no	no	Wednesday	morning	17/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique15
Brussels	yes	no	Wednesday	morning	17/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique16
Brussels	no	no	Wednesday	morning	24/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique17
Brussels	yes	no	Wednesday	morning	24/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique18
Brussels	no	no	Wednesday	morning	31/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique19
Brussels	yes	no	Wednesday	morning	31/7: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique20
Brussels	no	no	Wednesday	morning	7/8: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique21
Brussels	yes	no	Wednesday	morning	7/8: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique22
Brussels	yes	no	Wednesday	morning	29/8: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique23
Brussels	no	no	Wednesday	morning	29/8: 9h - 12h	CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	https://www.cpfsenne.be/spip.php?rubrique24
Brussels	yes	no	Monday	morning	9h - 12h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Monday	afternoon	14h - 18h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Tuesday	morning	9h - 13h30	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Tuesday	afternoon	14h - 18h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Wednesday	morning	9h30 - 13h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Wednesday	afternoon	14h - 17h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Thursday	morning	9h - 13h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Thursday	afternoon	14h30 - 18h30	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Friday	morning	9h30 - 13h30	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Friday	afternoon	14h - 18h	CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62		http://www.planf.be/Horaires
Brussels	yes	no	Monday	morning	8h15 - 12h	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Monday	afternoon	12h45 - 16h30	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Tuesday	morning	8h15 - 12h	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Tuesday	afternoon	12h45 - 16h30	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Wednesday	morning	8h15 - 12h	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Wednesday	afternoon	12h45 - 16h30	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Thursday	morning	8h15 - 12h	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Thursday	afternoon	12h45 - 16h30	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Friday	morning	8h15 - 12h	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Friday	afternoon	12h45 - 16h30	CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	https://www.planningsfps.be/nos-centres/cpf-bruxelles/
Brussels	yes	no	Thursday	morning	9h - 12h	CPF Laken	Boulevard Émile Bockstael 91, 1020 Brussels	02 325 46 40	laeken@planningfamilial.net	http://www.planninglaeken.be/contact/
Brussels	yes	no	Friday	afternoon	12h - 18h	CPF Laken	Boulevard Émile Bockstael 91, 1020 Brussels	02 325 46 40	laeken@planningfamilial.net	http://www.planninglaeken.be/contact/
Brussels	yes	no	Tuesday	morning	9h - 12h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=5
Brussels	yes	no	Tuesday	afternoon	12h30 - 17h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=6
Brussels	yes	no	Wednesday	afternoon	13h - 19h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=7
Brussels	yes	no	Thursday	morning	9h - 12h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=8
Brussels	yes	no	Thursday	afternoon	12h30 - 18h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=9
Brussels	yes	no	Friday	morning	9h - 12h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=10
Brussels	yes	no	Friday	afternoon	12h30 - 17h	CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30		https://www.guidesocial.be/planningleman/?page=11
Brussels	yes	no	Tuesday	afternoon	13h - 17h	Collectif Contraception	Av. des Celtes 50, 1040 Brussels	02 736 13 14		http://collectifcontraception.be/?id=20
Brussels	yes	no	Wednesday	afternoon	13h30 - 18h30	Collectif Contraception	Av. des Celtes 50, 1040 Brussels	02 736 13 14		http://collectifcontraception.be/?id=20
Brussels	no	no	Wednesday	afternoon	13h30 - 17h30	CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	
Brussels	yes	no	Monday	afternoon	13h30 - 17h30	CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	
Brussels	yes	no	Tuesday	afternoon	13h30 - 17h30	CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	
Brussels	yes	no	Thursday	afternoon	13h30 - 17h30	CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	
Brussels	yes	no	Friday	afternoon	13h30 - 17h30	CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	
Brussels	yes	no	Monday	morning	9h - 12h	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Monday	afternoon	12h30 - 19h	aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Tuesday	morning	9h - 12h	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Tuesday	afternoon	12h30 - 19h	aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Wednesday	morning	9h - 12h	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Wednesday	afternoon	12h30 - 19h	aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Thursday	morning	9h - 12h	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Thursday	afternoon	12h30 - 19h	aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Friday	morning	9h - 12h	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Friday	afternoon	12h30 - 19h	aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Saturday	morning	9h30 - 12h30	Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		http://www.aimeralulb.be/
Brussels	yes	no	Monday	morning	9h - 11h40	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Monday	afternoon	14h30 - 14h30	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Tuesday	morning	9h - 12h	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Tuesday	afternoon	13h30 - 17h	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Wednesday	morning	9h - 12h	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Wednesday	afternoon	13h30 - 16h	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Friday	afternoon	14h30 - 16h30	CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08		https://www.planningfamilialstgilles.be/infos-pratiques
Brussels	yes	no	Wednesday	afternoon	13h - 18h	CPF Midi	Avenue Clemenceau 23, 1070 Bruxelles	02 511 38 38	accueil@cpfmidi.be	https://www.cpfmidi.be/consultations-medicales/
Brussels	yes	no	Monday	morning	9h- 12h	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Monday	afternoon	12h30 - 18h	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Tuesday	morning	9h- 12h	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Tuesday	afternoon	12h30 - 18h	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	no	no	Wednesday	afternoon	13h- 15h30	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Thursday	morning	9h- 12h	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Thursday	afternoon	12h30 - 18h30	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Friday	morning	9h - 13h30	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Friday	afternoon	16h - 17h30	CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	https://www.planning-severine.org/nos-services
Brussels	yes	no	Monday	afternoon	16h - 17h	CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be	http://www.lentrela.be/-Planning-Familial-d-Evere-127-
Brussels	no	no	Monday	afternoon	17h - 18h	CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be	http://www.lentrela.be/-Planning-Familial-d-Evere-127-
Brussels	yes	no	Wednesday	afternoon	14h - 16h	CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be	http://www.lentrela.be/-Planning-Familial-d-Evere-127-
Brussels	yes	no	Wednesday	afternoon	16h - 17h	CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be	http://www.lentrela.be/-Planning-Familial-d-Evere-127-
Brussels	yes	no	Monday	morning	10h - 12h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=5
Brussels	yes	no	Monday	afternoon	13h - 18h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=6
Brussels	yes	no	Tuesday	morning	9h -12h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=7
Brussels	yes	no	Tuesday	afternoon	14h - 18h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=8
Brussels	yes	no	Wednesday	afternoon	13h - 18h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=9
Brussels	yes	no	Thursday	afternoon	12h30 - 17h30	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=10
Brussels	yes	no	Friday	morning	10h - 12h	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=11
Brussels	yes	no	Friday	afternoon	13h - 17h30	CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67		https://www.guidesocial.be/planningwoluwe/?page=12
Brussels	yes	no	Tuesday	afternoon	15h30 - 18h	CPF Woluwé-Saint-Lambert CCFS	Avenue de Broqueville 270, 1200 Brussels	02 736 41 50	ccfs@skynet.be	http://www.planning-familial-wsl.be/index.php/infos-generales/horaires/medicales
Brussels	yes	no	Wednesday	afternoon	13h30 - 18h30	CPF Woluwé-Saint-Lambert CCFS	Avenue de Broqueville 270, 1200 Brussels	02 736 41 50	ccfs@skynet.be	http://www.planning-familial-wsl.be/index.php/infos-generales/horaires/medicales
Brussels	yes	no	Thursday	morning	9h -13h	CPF Woluwé-Saint-Lambert CCFS	Avenue de Broqueville 270, 1200 Brussels	02 736 41 50	ccfs@skynet.be	http://www.planning-familial-wsl.be/index.php/infos-generales/horaires/medicales
Brussels	yes	no	Thursday	afternoon	15h30 - 18h	CPF Woluwé-Saint-Lambert CCFS	Avenue de Broqueville 270, 1200 Brussels	02 736 41 50	ccfs@skynet.be	http://www.planning-familial-wsl.be/index.php/infos-generales/horaires/medicales
Brussels	yes	no	Monday	morning	9h - 12h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Monday	afternoon	13h - 18h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Tuesday	morning	9h - 12h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Tuesday	afternoon	14h - 18h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Wednesday	morning	9h - 12h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Wednesday	afternoon	13h - 18h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Thursday	morning	9h - 12h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Thursday	afternoon	13h - 18h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Friday	morning	9h - 12h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Friday	afternoon	13h - 17h	CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50		https://www.planningsaintjosse.com/les-i-s-t
Brussels	yes	no	Wednesday	afternoon	16h45 - 18h30	CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95		http://www.bureauxdequartiers.be/
Brussels	yes	no	Thursday	afternoon	16h00 - 17h45	CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95		http://www.bureauxdequartiers.be/
Brussels	yes	no	Friday	afternoon	15h00 - 16h45	CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95		http://www.bureauxdequartiers.be/
Brussels	no	yes	Wednesday	afternoon	15h30 - 17H30 (only subsaharan africans)	Plate-Forme Prévention Sida	rue du Champ de Mars 5, 1050 Brussels			
Brussels	no	yes	Monday	afternoon	1st and 4th Monday of the month - 17h45 - 19h45 (only subsaharan africans)	Les Pissenlits	chaussée de Mons, 192, 1070 Brussels			
Brussels	no	yes	Tuesday	afternoon	1st and 4th Tuesday of the month - 16h - 18h (only subsaharan africans)	Plaine de Liverpool	rue de Liverpool, 65, 1070 Brussels			
Brussels	no	yes	Wednesday	morning	1st Wednesday of the month - 10h - 12h (only subsaharan africans)	CPF du Midi	Avenue Clemenceau 23, 1070 Brussels	02 511 38 38		
I'm a sexworker	no	yes	Tuesday	afternoon	19h - 20h	Espace P	rue des Plantes 116, 1030 Brussels	02 219 98 74	bruxelles@espacep.be	http://espacep.be/contact/bruxelles/
I'm a sexworker	no	yes	Wednesday	afternoon	13h - 14h	Espace P	rue des Plantes 116, 1030 Brussels	02 219 98 74	bruxelles@espacep.be	http://espacep.be/contact/bruxelles/
